From,To,Length(m),Azimuth(deg),Clino(deg)
0@Friend_Elevator,-,0.72,145.83,-78.90
0@Friend_Elevator,-,0.43,203.93,-18.10
0@Friend_Elevator,-,0.59,226.43,67.60
0@Friend_Elevator,-,0.19,36.83,15.50
0@Friend_Elevator,-,0.22,63.23,-37.00
0@Friend_Elevator,-,0.22,97.83,-21.30
0@Friend_Elevator,-,0.57,130.63,-16.80
0@Friend_Elevator,1@Friend_Elevator,1.09,264.63,-75.90
1@Friend_Elevator,-,0.45,295.23,69.60
1@Friend_Elevator,-,0.54,328.53,60.40
1@Friend_Elevator,-,0.38,18.63,30.30
1@Friend_Elevator,-,0.28,28.93,5.40
1@Friend_Elevator,-,0.18,241.63,13.30
1@Friend_Elevator,2@Friend_Elevator,2.41,301.73,-11.60
2@Friend_Elevator,-,0.40,123.43,-79.70
2@Friend_Elevator,-,0.36,35.83,-7.00
2@Friend_Elevator,-,0.71,40.13,48.30
2@Friend_Elevator,3@Friend_Elevator,3.82,312.63,-8.20
3@Friend_Elevator,-,0.65,19.53,78.10
3@Friend_Elevator,-,0.61,214.33,3.70
3@Friend_Elevator,-,0.69,190.03,-62.70
3@Friend_Elevator,4@Friend_Elevator,1.61,310.23,13.90
4@Friend_Elevator,-,4.13,54.83,85.80
4@Friend_Elevator,-,3.56,221.73,60.70
4@Friend_Elevator,-,2.89,217.23,1.00
4@Friend_Elevator,-,1.25,183.23,23.30
4@Friend_Elevator,-,1.83,166.93,-31.80
4@Friend_Elevator,-,1.10,133.63,-37.60
4@Friend_Elevator,-,1.13,232.93,-77.30
3@Friend_Elevator,5@Friend_Elevator,4.96,24.23,34.60
5@Friend_Elevator,-,4.05,215.93,14.10
5@Friend_Elevator,-,4.30,197.33,-40.40
5@Friend_Elevator,-,1.25,130.33,3.00
5@Friend_Elevator,-,0.23,295.43,80.40
5@Friend_Elevator,-,0.50,180.03,-87.60
5@Friend_Elevator,-,1.43,289.23,-23.50
5@Friend_Elevator,-,1.25,265.03,-41.90
5@Friend_Elevator,-,0.25,185.63,1.80
5@Friend_Elevator,6@Friend_Elevator,5.83,294.43,-26.60
6@Friend_Elevator,-,4.49,129.53,-1.60
6@Friend_Elevator,-,1.85,68.33,54.70
6@Friend_Elevator,-,0.71,95.33,77.80
6@Friend_Elevator,-,4.89,317.73,12.30
6@Friend_Elevator,7@Friend_Elevator,4.52,316.93,7.70
7@Friend_Elevator,-,0.81,70.33,67.60
7@Friend_Elevator,-,1.42,205.53,-52.70
7@Friend_Elevator,-,0.51,202.33,-4.80
7@Friend_Elevator,-,0.25,78.33,-47.90
7@Friend_Elevator,8@Friend_Elevator,5.57,289.33,-25.80
8@Friend_Elevator,-,0.75,36.63,75.60
8@Friend_Elevator,-,0.52,124.63,-81.70
8@Friend_Elevator,-,0.73,24.53,5.30
8@Friend_Elevator,9@Friend_Elevator,4.89,315.63,-0.90
9@Friend_Elevator,-,1.11,70.63,76.10
9@Friend_Elevator,-,0.87,83.83,45.30
9@Friend_Elevator,-,0.50,224.73,0.70
9@Friend_Elevator,10@Friend_Elevator,3.97,351.93,42.70
10@Friend_Elevator,-,1.42,26.33,80.80
10@Friend_Elevator,-,0.15,328.33,83.60
10@Friend_Elevator,-,1.47,24.03,80.20
10@Friend_Elevator,-,2.05,219.83,-50.60
10@Friend_Elevator,-,1.54,224.33,5.30
10@Friend_Elevator,11@Friend_Elevator,4.04,263.93,15.20
11@Friend_Elevator,-,0.56,28.63,44.30
11@Friend_Elevator,-,0.76,131.73,-85.60
11@Friend_Elevator,-,0.66,39.83,1.60
11@Friend_Elevator,12@Friend_Elevator,1.86,305.23,-12.30
12@Friend_Elevator,-,0.51,141.53,85.80
12@Friend_Elevator,-,1.76,43.03,44.10
12@Friend_Elevator,-,0.34,48.93,-3.80
12@Friend_Elevator,-,1.07,191.53,7.00
12@Friend_Elevator,-,2.27,313.03,26.50
12@Friend_Elevator,-,5.46,221.03,13.40
12@Friend_Elevator,13@Friend_Elevator,5.74,221.03,13.40
13@Friend_Elevator,-,0.69,198.03,83.60
13@Friend_Elevator,-,0.52,120.63,17.80
13@Friend_Elevator,-,0.16,113.43,-42.30
13@Friend_Elevator,-,1.62,298.83,55.70
13@Friend_Elevator,-,3.92,296.03,38.40
13@Friend_Elevator,14@Friend_Elevator,3.94,199.33,-3.00
